"Well I'm an American, but if I weren't comfortable with leaving packages on my porch while I'm not home (many Americans aren't, but I have cameras on mine so I'm not worried), or if I didn't have Prime I  would consider using this because I could pick up packages in Chicago. In some circumstances this would cut a day or two out of shipping time (3, on a weekend or holiday). I'm just over the border, in Indiana, only a 30 minute drive from Chicago, and I often have other things to do there anyway. Prime makes my packages come so quickly that it's pointless for me, but it WOULD be helpful for packages coming from companies other than Amazon...",US,s0nicfreak,-0.2389,5.2,90.3,4.3999999999999995,2016-07-30 02:11:36,2016-07-30 02:11:36
"What on earth?  The idea of fetching a package is unthinkable to an American.  My packages show up on my front porch.  I am godsmacked.  Love Denmark, especially Odense. Skoll.",joydime,0.6369,0.0,86.5,13.5,2016-03-26 05:54:23,2016-03-26 05:54:23
do they handle digital delivery of goods?,FreeQuest,0.0,0.0,100.0,0.0,2016-03-18 03:42:44,2016-03-18 03:42:44
in Finland all post  are those except the main centers they are great,ThePowernest80,0.6249,0.0,74.5,25.5,2016-03-13 17:41:56,2016-03-13 17:41:56
If I want to order something that needs Id for like and 18+ game how would the Amazon locker verify your age?,Eddie,0.5423,0.0,76.6,23.400000000000002,2016-02-29 20:39:45,2016-02-29 20:39:45
"This postbox is right outside the shop in my hometown, so you`re not bounded to shop working times.",Dalsir,0.0,0.0,100.0,0.0,2016-02-23 14:42:36,2016-02-23 14:43:02
"In Germany DHL operates very similar looking ""packstationen""",CAESARbonds,0.0,0.0,100.0,0.0,2016-02-18 19:22:57,2016-02-18 19:22:57
"Russian Standard, good choice in vodka.   :)",pythonfan78,0.7096,0.0,45.9,54.1,2016-02-10 03:26:21,2016-02-10 03:26:21
Your voice sounds exactly like James May.  You could do a radio show with him and it would be VERY confusing.,rlrsk8r1,-0.1093,12.5,76.8,10.7,2016-01-29 02:27:42,2016-01-29 02:27:42
does anyone know of a service like this in Canada?\nI tried researching and found a thing called BufferBox but they are now closed and were bought by Google.,zachary159,0.1901,0.0,93.5,6.5,2015-10-28 09:10:49,2015-10-28 09:10:49
your videos are great,wutzerface77,0.6249,0.0,42.3,57.699999999999996,2015-09-29 01:16:34,2015-09-29 01:16:34
Sad times Peach is no longer in Standish :'(,bex2910,-0.8176,58.599999999999994,41.4,0.0,2015-03-05 20:34:59,2015-03-05 20:34:59
Similar thing Amazon does in India as well.,seeameya,0.4215,0.0,61.199999999999996,38.800000000000004,2016-10-26 08:42:22,2016-10-26 08:42:22
@Fox McCloud\xa0They have that here too - this locker location has gone now because the shop closed :-(,GB,Techmoan,-0.3612,13.5,86.5,0.0,2015-01-12 20:05:30,2015-01-12 20:05:30
The Finnish Post has the same kind of locker system. It's called SmartPost. Many online shops have this option and it costs less than home delivery. Sometimes it's even free. Delivery SMS says the box will stay in the locker for a week.,komposiittinyrkki,0.5106,0.0,92.60000000000001,7.3999999999999995,2014-10-05 11:08:58,2014-10-05 11:08:58
Thats a neat idea....I wish we had them in Oz..... Actually. Wouldnt make much difference to me as I dont shop on amazon....opsss....lol.\n\nRob,RDPproject,0.6908,0.0,76.9,23.1,2014-08-05 14:00:12,2014-08-05 14:00:12
"I really don't rate these amazon pickup thingy ma jigs!  The one in this video looks great in a bright supermarket, but there is one near me in a dark corner of a petrol station.  Some poor not very security conscious person collects there brand new expensive gadget only for some scumbag to come along and take said item from poor victim.  ",MrCrouchy,-0.9564,28.000000000000004,66.10000000000001,5.8999999999999995,2014-07-08 19:05:51,2014-07-08 19:05:51
"In Germany we have somethings similar. It is called ""Packstation"" and is operated by DHL.\nOne can not only receive parcels from Amazon but any parcel delivered through DHL.\nhttp://www.dhl.de/de/paket/pakete-empfangen/packstation.html",bangser,0.09,0.0,95.19999999999999,4.8,2014-06-22 11:26:50,2014-06-22 11:26:50
We do now :),Nicole3900,0.4588,0.0,50.0,50.0,2018-10-16 01:59:41,2018-10-16 01:59:41
Dude needs to know that this video is over a year old (see dates of previous comments).\xa0,GB,Techmoan,0.0,0.0,100.0,0.0,2014-06-05 06:52:29,2014-06-05 06:52:29
Your videos are always great!!\nKeep'em coming !!,pakpukik,0.0,0.0,100.0,0.0,2014-06-02 12:49:53,2014-06-02 12:49:53
"You can also use Amazon Locker for returns as well and there is no charge for shipping! I just did this last week, it was the easiest online return I have ever done.",US,Blaylock1988,0.5707,6.1,74.8,19.1,2014-06-01 21:05:21,2014-06-01 21:05:21
"Thanks for sharing, I've never used Amazon much but this options makes buying stuff from them even more convenient.",gothicel,0.38,6.0,75.8,18.2,2014-05-31 15:44:58,2014-05-31 15:44:58
I remember this video.,mav6771,0.0,0.0,100.0,0.0,2014-05-30 03:56:26,2014-05-30 03:56:26
Can you do a video on the charger stations? There in John Lewis! ,zquigleyp,0.0,0.0,100.0,0.0,2014-05-29 13:38:22,2014-05-29 13:38:22
"We have this in Finland too, but its ran by regular postal service. I don't know why it wasn't implemented before, they could had done it decades ago.",miiiikku,0.0,0.0,100.0,0.0,2014-05-29 09:47:31,2014-05-29 09:47:31
Ye old essential Vodka :),AlexGP90,0.4588,0.0,57.099999999999994,42.9,2014-05-29 08:48:12,2014-05-29 08:48:12
That's a cool idea! Never knew such a thing existed :-),ravenryuu,0.5983,0.0,58.9,41.099999999999994,2014-05-29 07:51:00,2014-05-29 07:51:00
@Techmoan what camera do you use to film this video?,tititmanja,0.0,0.0,100.0,0.0,2014-05-29 07:21:35,2014-05-29 07:21:35
It was a year or so ago...but I think it was a Sony AS10. ,GB,Techmoan,0.0,0.0,100.0,0.0,2014-05-29 08:42:53,2014-05-29 08:42:53
theres no such thing in the us?,723lion,-0.296,26.8,73.2,0.0,2014-05-29 06:11:27,2014-05-29 06:11:27
Informative video like always.. had no idea this existed. Thanks for sharing.\xa0,JimmyMartian,0.4939,13.3,54.2,32.5,2014-05-29 03:15:58,2014-05-29 03:15:58
One simple code to use. I thought it may be more complicated.,Maxsdiscos,0.0,0.0,100.0,0.0,2014-05-29 00:18:42,2014-05-29 00:18:42
Very cool. \xa0I hope we get those here soon.,frollard,0.6962,0.0,54.900000000000006,45.1,2014-05-29 00:17:29,2014-05-29 00:17:29
Russian Standard! :D,Granite,0.6514,0.0,31.6,68.4,2014-05-29 00:15:10,2014-05-29 00:15:10
"In Japan, you can deliver the package to a convenience store near you and then pick it up from the counter there anytime of the day. I haven't actually tried that, however, as I mostly schedule my packages to be delivered at a specific time slot (e.g. 8-12, 12-14, 14-16... etc). Scheduling will cause a slight delay when compared to the fast shipping provided by Prime (something like half a day later or so).",Fanta711,0.0516,3.2,93.2,3.5000000000000004,2014-05-29 00:08:53,2014-05-29 00:08:53
@HB45175\xa0I live in an apartment in Seattle and US post drop the mail off in a mailbox in the parking lot and anything that won't fit they put outside my door even if I am not at home. Rarely they hide it behind a plant or under the welcome mat but I have never had a package stolen in 4+ years here so it works fine even for big items like a laptop which they can't hide.\xa0,DrScopeify,0.857,3.9,80.30000000000001,15.8,2014-08-13 04:21:41,2014-08-13 04:21:41
@Fanta711 You go to the petrol station or grocery store and they'll send it for you.,HB45175,0.0,0.0,100.0,0.0,2014-06-02 17:39:16,2014-06-02 17:39:16
"@Jerry Law Gotta say the quality of food in the convenience stores in Japan (lunch boxes, sandwiches and fried food among others) is surprisingly great. 7-Eleven's onigiri are just awesome.",Fanta711,0.886,0.0,72.2,27.800000000000004,2014-06-02 11:04:37,2014-06-02 11:04:37
"@Jerry Law While they are quite convenient, I usually try to avoid buying by from them since they are more expensive than supermarkets and grocery shops (which usually close between 7-8PM with some closing around 10PM).",Fanta711,-0.296,6.1,93.89999999999999,0.0,2014-06-02 10:03:07,2014-06-02 10:03:07
"@Jerry Law The thing about those convenience stores in Japan is that they are open 24/7. Otherwise, it won't mean much to forward the packages there.",Fanta711,0.0,0.0,100.0,0.0,2014-06-02 05:07:43,2014-06-02 05:07:43
"@HB45175 Wait, what? If the postal service closed all its offices, how do you send stuff?",Fanta711,0.0,0.0,100.0,0.0,2014-06-02 05:06:10,2014-06-02 05:06:10
Here in Sweden the postal service closed all their offices and regardless of what you order it'll be sent to a pickup location (which is usually a grocery store or a petrol station). DHL/Schenker etc and whatnot use the same system.,HB45175,0.0,0.0,100.0,0.0,2014-05-29 21:47:31,2014-05-29 21:47:31
"Yes there are a few restrictions. It's only items Fulfilled by Amazon and I've noticed pre-orders can't be sent there either (or Vinyl albums because they are ""too big""). ",GB,Techmoan,0.7351,0.0,77.60000000000001,22.400000000000002,2014-05-29 05:51:23,2014-05-29 05:51:23
Like Parcel Motel in Ireland. Very useful indeed.,jix177,0.6901,0.0,51.300000000000004,48.699999999999996,2014-05-28 23:19:03,2014-05-28 23:19:03
Very cool,turbominivan60,0.3804,0.0,27.800000000000004,72.2,2014-05-28 22:58:02,2014-05-28 22:58:02
nice,MrEdsster,0.4215,0.0,0.0,100.0,2014-05-28 22:13:51,2014-05-28 22:13:51
@Techmoan\xa0we have those boxes since years in germany for our local post company (DHL) :D,DE,NekoSteamBoy,0.6166,0.0,77.60000000000001,22.400000000000002,2014-05-28 21:32:59,2014-05-28 21:32:59
+Marcin Stelmaszczuk Im actually wondering if Amazon violated the patents of the InPost.,WindRider,-0.4019,21.099999999999998,68.30000000000001,10.6,2016-04-04 16:54:15,2016-04-04 16:54:15
"I'm in the UK, so it's new here (or was when I first upload this video a year ago).\xa0",GB,Techmoan,0.0,0.0,100.0,0.0,2014-05-28 21:30:42,2014-05-28 21:30:42
"Hermes have lockers too, not tried them, but they're there!",CheshireTomcat68,0.0,0.0,100.0,0.0,2014-05-28 21:23:07,2014-05-28 21:23:07
To celebrate the fact that Youtube.com/techmoan has passed 20 Million Views and as a result has wasted over 125 years of mankind's time watching my videos - I've decided to make a few old unlisted videos public (because I don't have time to do anything better right now). It's a double celebration as this channel will be 5 years old on 31 May 2014.,GB,Techmoan,0.5267,4.9,84.89999999999999,10.2,2014-05-28 21:17:32,2014-05-28 21:17:32
You Rock!!,KillerOfDolts,0.0,0.0,100.0,0.0,2014-06-23 00:13:09,2014-06-23 00:13:09
It's the Sony AS10. The perfect handheld camera for shots like this. ,GB,Techmoan,0.7351,0.0,61.7,38.3,2013-01-26 23:11:43,2013-01-26 23:11:43
nice salad in ur tooth foker,Griven,0.4215,0.0,64.1,35.9,2019-02-28 19:03:38,2019-02-28 19:03:38
2:16,Griven,0.0,0.0,100.0,0.0,2019-03-04 15:16:25,2019-03-04 15:16:25
In Canada we have Canada post Flex Delivery.  If sends to near your local postal outlet.  You get a code and bar code  that the agent can scan to get your packages.,Dao,0.0,0.0,100.0,0.0,2019-01-22 04:21:02,2019-01-22 04:21:02
Hey! Next time please don't pull and shake stuff you could break something and ruin it for other people,MX,carlos,-0.3125,15.9,66.9,17.2,2018-12-10 00:49:42,2018-12-10 00:49:42
Nice video. What kind of video camera do you use?!!! \U0001f603,15Th15f0rR34l,0.5684,0.0,73.1,26.900000000000002,2018-08-28 03:20:02,2018-08-28 03:20:02
"I have just ordered something and if I didn't use the locker, the delivery to my house would be roughly \xa36 and it was coming on the day I was going on holiday! It is now scheduled to be in the locker tomorrow and the price was less than \xa32 so it made sense to do.",Han,0.4574,0.0,94.6,5.4,2018-06-07 14:40:14,2018-06-07 14:40:14
How long do they give you to pick up your package?,southbound1969,0.0,0.0,100.0,0.0,2018-03-25 04:58:45,2018-03-25 04:58:45
"Kind of like Epcot , you feel like you are flying , ps so glad you are back , hope you had a wonderful time.                       K",Keith,0.9378,0.0,50.8,49.2,2018-03-23 21:54:33,2018-03-23 21:54:33
"Hey BTB,  I was just looking for a villa in Tuscany  Italy.\nwhen a realized how much I truly love your drone footage\nPLEASE !  Do more , I grow up in a working class railroad town,\nyou could run track , play foot ball ,or wrestling  or you  just  didn't exist ! \nI wanted to learn ballot ,so i might as i might feel  as  i was fling thru the air  just like like a drone ,\n  but my father would have kicked my ass!!!!!!!!!!!!!!\nI left town , I'm brilliant in math ,economics as well a designer and builder homes\nHe has passed now , I think he is proud of me just the way.  I'm am ,and loves me just the same !",Keith,0.9798,0.0,76.9,23.1,2018-03-23 19:32:40,2018-03-23 19:32:40
Love Amazon lockers. When it works \U0001f600,US,thecollegepicker,0.7096,0.0,45.9,54.1,2018-03-23 05:15:58,2018-03-23 05:15:58
Man how are you awake at this hour \U0001f631,US,thecollegepicker,0.0,0.0,100.0,0.0,2018-03-23 07:48:13,2018-03-23 07:48:13
"i love using Amazon Lockers. i stay in an apartment complex and dont know the neighbors at all so leaving my packages at my door is too risky. I have a AL 11 mins away from me so its no biggie to drive there. If you ordering from Amazon and in fear of ""Porch Pirates"", please use the lockers. The one thing Amazon can do is make bigger lockers for bigger items though",iBeGaming2,0.4804,9.3,76.2,14.499999999999998,2019-03-04 00:40:49,2019-03-04 00:40:49
Please Amazon! Add a Locker to Eden NC some time in the future.,SakuraandSesshomaru,0.5093,0.0,70.0,30.0,2018-09-02 20:12:55,2018-09-02 20:12:55
Makes me feel like im on a mini side mission in gta 5 :),Xiuhcoatl,0.6705,0.0,64.5,35.5,2018-06-21 23:56:09,2018-06-21 23:56:09
Too large means mostly useless to me.,Slappysan,-0.4215,31.8,68.2,0.0,2018-06-09 17:05:54,2018-06-09 17:05:54
I can NOW order a Fleshlight LOL,wingzerox100,0.5473,0.0,53.1,46.9,2017-09-14 06:46:00,2017-09-14 06:46:00
Same lmfao,blueberrycharm,0.5423,0.0,22.2,77.8,2019-05-04 05:39:30,2019-05-04 05:39:30
"Then you trip and fall, the a hot milf picks it up for you, and sees the label. :P",Xiuhcoatl,0.4084,0.0,86.2,13.8,2018-06-21 23:58:50,2018-06-21 23:58:50
Like you never made a mistake in your life - no need to come off arrogant by calling him names,skyline,-0.2177,22.6,58.5,19.0,2018-03-04 20:26:13,2018-03-04 20:26:13
I found a locker on my block in San Jose no issues. Had to order an different brand item at mostly the same price because the delivery would not be fulfilled by amazon.,vaporizethis,-0.6939,20.599999999999998,74.7,4.7,2017-03-14 06:37:02,2017-03-14 06:37:02
"I was thinking about this for the East Village and found this. Very relevant video, thanks. I won't even bother trying it.",negakurai,0.6369,0.0,77.60000000000001,22.400000000000002,2016-10-25 08:37:16,2016-10-25 08:37:16
Lol,urb8t,0.4215,0.0,0.0,100.0,2016-09-24 22:33:09,2016-09-24 22:33:09
How much does it cost to use one of their lockers........,US,MrMac5150,0.0,0.0,100.0,0.0,2016-09-24 19:40:48,2016-09-24 19:40:48
@Insane Insomniac\nThanks,US,MrMac5150,0.0,0.0,100.0,0.0,2016-09-25 15:45:15,2016-09-25 15:45:15
"Well, I do care.  That's quite an achievement and you should be really, really proud! No, really!",daluke61,0.7791,11.3,49.4,39.300000000000004,2017-07-02 00:43:50,2017-07-02 00:43:50
How does it work when you have to return something? Does Amazon send you a return label that you have to print out yourself? Or how does that part of a return work?,sweetcanada17,0.3049,0.0,93.10000000000001,6.9,2017-11-15 12:01:11,2017-11-15 12:01:11
"That is cool. Ha, my name is McNally. Watch for an Instagram post.",US,txsviking,0.5719,0.0,70.1,29.9,2017-02-21 14:45:22,2017-02-21 14:45:22
Im a huge fan of Amazon Prime,SE,RTV,0.6486,0.0,32.300000000000004,67.7,2017-02-21 06:25:43,2017-02-21 06:25:43
"I'd like throw Jeff Bezos and his arrogant, pompous execs inside their locker. Right, I don't like him.  I don't like liars and I don't like hypocrites.",VIDEOHEREBOB,0.8213,9.4,53.0,37.6,2018-08-13 22:03:14,2018-08-13 22:03:14
he is still the richest man in the world so on behalf of him fuck you and you don't matter,MultiTHEJOKER,-0.0449,18.3,68.10000000000001,13.600000000000001,2018-08-13 23:32:18,2018-08-13 23:32:18
Matthew K. Davis Stores should deploy security to stand next to them.,quarlic,0.34,0.0,82.1,17.9,2018-08-13 18:25:14,2018-08-13 18:25:14
