Comment,Location,UserId,Compound,Negative,Neutral,Positive,PublishedDate
To celebrate the fact that Youtube.com/techmoan has passed 20 Million Views and as a result has wasted over 125 years of mankind's time watching my videos - I've decided to make a few old unlisted videos public (because I don't have time to do anything better right now). It's a double celebration as this channel will be 5 years old on 31 May 2014.,GB,Techmoan,0.5267,4.9,84.89999999999998,10.2,2014-05-28 21:17:32
It's the Sony AS10. The perfect handheld camera for shots like this. ,GB,Techmoan,0.7351,0.0,61.7,38.3,2013-01-26 23:11:43
Only a couple so far. Just niche interest items and hastily assembled videos.,GB,Techmoan,0.4588,0.0,78.60000000000002,21.4,2013-01-26 18:10:11
Hey! Next time please don't pull and shake stuff you could break something and ruin it for other people,MX,carlos,-0.3125,15.9,66.9,17.2,2018-12-10 00:49:42
Love Amazon lockers. When it works \U0001f600,US,thecollegepicker,0.7096,0.0,45.9,54.1,2018-03-23 05:15:58
Man how are you awake at this hour \U0001f631,US,thecollegepicker,0.0,0.0,100.0,0.0,2018-03-23 07:48:13
How much does it cost to use one of their lockers........,US,MrMac5150,0.0,0.0,100.0,0.0,2016-09-24 19:40:48
@Insane Insomniac\nThanks,US,MrMac5150,0.0,0.0,100.0,0.0,2016-09-25 15:45:15
"That is cool. Ha, my name is McNally. Watch for an Instagram post.",US,txsviking,0.5719,0.0,70.1,29.9,2017-02-21 14:45:22
Im a huge fan of Amazon Prime,SE,RTV,0.6486,0.0,32.300000000000004,67.7,2017-02-21 06:25:43
Amazon lockers are so good. Helping many customers to get their order delivered fast.,GB,Anjali Bansal,0.7857,0.0,58.1,41.9,2019-06-12 19:45:08
this is a common thing sweden,SE,Kaplel,0.0,0.0,100.0,0.0,2019-05-31 13:41:29
I didn't know this existed until now. Brilliant. Now I don't even have to talk to anyone.,UK,Rich Smith,0.5859,0.0,78.7,21.3,2019-05-17 08:44:36
\U0001f602,DK,T aviation68,0.0,0.0,100.0,0.0,2019-03-28 23:58:27
How to get a vape,US,T aviation68,0.0,0.0,100.0,0.0,2019-03-28 23:58:20
"thank you, these are great! I have a terrible and overly complicated setup at my apartment the packages never arrive. this is just so perfect.",GB,nino,0.8602,9.2,56.3,34.5,2019-03-09 00:27:39
Looks like I have to start using this since some jackass in my apartment building has sticky fingers.,UK,ilovepink86,-0.0772,13.8,73.9,12.3,2019-02-27 03:53:27
Cool little review and knowledgeable,US,franco Jr,0.3182,0.0,63.5,36.5,2019-02-14 19:12:20
This was the best how to video. Thanks chap!,DK,jubeiBrow,0.8122,0.0,48.6,51.4,2019-01-24 23:53:38
"Thanks, informative video!",GB,noSwearINGonMyCHRISTIANsERVER,0.4926,0.0,38.5,61.5,2019-01-09 04:16:58
I'd like to ask for how long product may be kept in locker ?,SE,Matthew MT,0.3612,0.0,82.8,17.2,2018-12-25 20:43:38
Matthew MT Three days.,SE,Charles Lyell,0.0,0.0,100.0,0.0,2019-04-10 01:02:51
"I'm trying it for the first time.....More importantly,there is a liquor store attached to the store where the locker is......",MX,James Darr,0.0,0.0,100.0,0.0,2018-12-24 19:41:32
Wow coool. Nice \U0001f44d\U0001f3fc idea,UK,Gladiator Spear,0.765,0.0,31.2,68.8,2018-12-23 09:37:34
"Thank you, I wasn\u2019t sure what to expect in using the locker.",MX,mochakreme,0.5859,0.0,65.2,34.8,2018-12-22 20:48:16
Amazon locker=no more porch pirates,DK,Anu Miller,0.1779,0.0,70.19999999999999,29.8,2018-12-08 05:54:08
Pretty much nonsense to put an Amazon Locker into a grocery store or is it 24/7 ?,UK,Zardoz,0.29600000000000004,13.8,61.2,25.0,2018-12-05 13:59:42
This video is extremely British lol.,US,Viq,0.4728,0.0,61.9,38.1,2018-12-02 17:05:25
this is a life saver so your parents don't know what you order,MX,Its Volatile,0.0,0.0,100.0,0.0,2018-11-25 21:59:09
i just checked and you can't buy 18+ stuff to send to the locker this in UK,GB,blocET,0.0,0.0,100.0,0.0,2019-06-07 15:49:35
This is what I'm gonna do cause I'm gonna start a lipgloss business so exited !!!!\U0001f60a,US,xolaylayxo,0.0,0.0,100.0,0.0,2019-05-05 11:47:07
@xpikez hagahahah,MX,FaithNoMoreAddict 6,0.0,0.0,100.0,0.0,2019-04-03 00:48:29
Pocket pussy,UK,xPikez,0.0,0.0,100.0,0.0,2019-02-12 23:04:12
@Its Volatile lol,GB,Chance Hagler,0.4215,0.0,41.7,58.3,2018-12-20 23:58:03
@Geovany Veleta nibba no,GB,Its Volatile,-0.29600000000000004,42.3,57.7,0.0,2018-11-29 15:40:12
Its Volatile stop buying vape online.,DE,Geovany Veleta,-0.29600000000000004,30.6,69.39999999999999,0.0,2018-11-29 07:07:06
Very Helpful,SE,Fish N Dishin,0.4754,0.0,24.4,75.6,2018-11-16 03:01:03
